ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Gender,,Source,
LSO,Lesotho,SSA,ESA,Least Developed,,,,,
LBR,Liberia,SSA,WCA,Least Developed,,,,,
LBY,Libya,MENA,MENA,Less Developed,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,75,72,77,UIS,2018
MWI,Malawi,SSA,ESA,Least Developed,,,,,
MYS,Malaysia,EAP,EAP,Less Developed,95,94,96,UIS,2018
MDV,Maldives,SA,SA,Less Developed,,,,,
MLI,Mali,SSA,WCA,Least Developed,35,26,46,UIS,2018
MLT,Malta,ECA,WE,More Developed,95,96,93,UIS,2018
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,,,,,
MUS,Mauritius,SSA,ESA,Less Developed,91,89,93,UIS,2018
MEX,Mexico,LAC,LAC,Less Developed,95,95,96,UIS,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,98,99,98,UIS,2018
MNE,Montenegro,ECA,EECA,More Developed,99,98,99,UIS,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,
MAR,Morocco,MENA,MENA,Less Developed,74,65,83,UIS,2018
MOZ,Mozambique,SSA,ESA,Least Developed,,,,,
MMR,Myanmar,EAP,EAP,Least Developed,,,,,
NAM,Namibia,SSA,ESA,Less Developed,92,91,92,UIS,2018
NRU,Nauru,EAP,EAP,Less Developed,,,,,
NPL,Nepal,SA,SA,Least Developed,68,60,79,UIS,2018
NLD,Netherlands,ECA,WE,More Developed,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,
NER,Niger,SSA,WCA,Least Developed,35,27,44,UIS,2018
NGA,Nigeria,SSA,WCA,Less Developed,62,53,71,UIS,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,,,,,
NOR,Norway,ECA,WE,More Developed,,,,,
OMN,Oman,MENA,MENA,Less Developed,96,93,97,UIS,2018
PAK,Pakistan,SA,SA,Less Developed,,,,,
PLW,Palau,EAP,EAP,Less Developed,,,,,
PAN,Panama,LAC,LAC,Less Developed,95,95,96,UIS,2018
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,94,94,95,UIS,2018
PER,Peru,LAC,LAC,Less Developed,94,92,97,UIS,2018
PHL,Philippines,EAP,EAP,Less Developed,,,,,
POL,Poland,ECA,WE,More Developed,,,,,
PRT,Portugal,ECA,WE,More Developed,96,95,97,UIS,2018
QAT,Qatar,MENA,MENA,Less Developed,,,,,
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,,,,,
ROU,Romania,ECA,EECA,More Developed,99,99,99,UIS,2018
RUS,Russian Federation,ECA,EECA,More Developed,100,100,100,UIS,2018
RWA,Rwanda,SSA,ESA,Least Developed,73,69,78,UIS,2018
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,,,,,
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,
WSM,Samoa,EAP,EAP,Less Developed,99,99,99,UIS,2018
SMR,San Marino,ECA,WE,More Developed,100,100,100,UIS,2018
STP,Sao Tome and Principe,SSA,WCA,Least Developed,93,90,96,UIS,2018
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,
SEN,Senegal,SSA,WCA,Least Developed,,,,,
SRB,Serbia,ECA,EECA,More Developed,,,,,
SYC,Seychelles,SSA,ESA,Less Developed,96,96,95,UIS,2018
SLE,Sierra Leone,SSA,WCA,Least Developed,43,35,52,UIS,2018
SGP,Singapore,EAP,EAP,Less Developed,97,96,99,UIS,2018
SVK,Slovakia,ECA,WE,More Developed,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,,,,,
SSD,South Sudan,SSA,ESA,Least Developed,35,29,40,UIS,2018
ESP,Spain,ECA,WE,More Developed,98,98,99,UIS,2018
LKA,Sri Lanka,SA,SA,Less Developed,92,91,93,UIS,2018
PSE,State of Palestine,MENA,MENA,Less Developed,97,96,99,UIS,2018
SDN,Sudan,SSA,ESA,Least Developed,61,56,65,UIS,2018
SUR,Suriname,LAC,LAC,Less Developed,94,93,96,UIS,2018
SWE,Sweden,ECA,WE,More Developed,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,,,,,
THA,Thailand,EAP,EAP,Less Developed,94,92,95,UIS,2018
TLS,Timor-Leste,EAP,EAP,Least Developed,68,64,72,UIS,2018
TGO,Togo,SSA,WCA,Least Developed,,,,,
TKL,Tokelau,EAP,EAP,Not Classified,,,,,
TON,Tonga,EAP,EAP,Less Developed,99,99,99,UIS,2018
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,,,,,
TUR,Turkey,ECA,EECA,Less Developed,,,,,
TKM,Turkmenistan,ECA,EECA,Less Developed,,,,,
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,
UGA,Uganda,SSA,ESA,Least Developed,77,71,83,UIS,2018
UKR,Ukraine,ECA,EECA,More Developed,,,,,
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,,,,,
USA,United States,NA,NA,More Developed,,,,,
URY,Uruguay,LAC,LAC,Less Developed,99,99,98,UIS,2018
UZB,Uzbekistan,ECA,EECA,Less Developed,100,100,100,UIS,2018
VUT,Vanuatu,EAP,EAP,Least Developed,88,87,88,UIS,2018
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,95,94,96,UIS,2018
YEM,Yemen,MENA,MENA,Least Developed,,,,,
ZMB,Zambia,SSA,ESA,Least Developed,87,83,91,UIS,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Regional aggregates (Only regions where 50% or higher share of youth/adult covered are shown),,,,,,,,
,East Asia & Pacific,EAP,,96,,,,,
,Europe & Central Asia,ECA,, – ,,,,,
,Eastern Europe & Central Asia,,EECA,99,,,,,
,Western Europe,,WE, – ,,,,,
,Latin America & Caribbean,LAC,,94,,,,,
,Middle East & North Africa,MENA,,79,,,,,
,North America,NA,, – ,,,,,
,South Asia,SA,,73,,,,,
,Sub-Saharan Africa,SSA,,65,,,,,
,Eastern & Southern Africa,,ESA,70,,,,,
,West & Central Africa,,WCA,61,,,,,
,World,,,86,,,,,
